고객번호,분기,구매횟수,총구매액
00001,14_1,121,8995824
00001,14_2,117,11108203
00001,14_3,142,12181088
00001,14_4,214,20694107
00001,15_1,172,9408643
00001,15_2,140,9217176
00001,15_3,73,8792000
00001,15_4,78,4375707
00002,14_1,184,13898280
00002,14_2,155,10506625
00002,14_3,139,16767689
00002,14_4,132,6279623
00002,15_1,145,18691374
00002,15_2,116,9983629
00002,15_3,126,15589936
00002,15_4,119,9915866
00003,14_1,139,297954
00003,14_2,209,564936
00003,14_3,246,732292
00003,14_4,145,349742
00003,15_1,87,282483
00003,15_2,133,335595
00003,15_3,139,474158
00003,15_4,93,213238
00004,14_1,93,1288767
00004,14_2,177,3844763
00004,14_3,85,2750419
00004,14_4,87,1616792
00004,15_1,122,1757018
00004,15_2,141,2058510
00004,15_3,118,2395619
00004,15_4,107,1330359
00005,14_1,184,3095164
00005,14_2,193,2384470
00005,14_3,110,2064490
00005,14_4,20,353350
00005,15_1,93,2148555
00005,15_2,30,869131
00005,15_4,89,2161652
00006,14_1,192,2131469
00006,14_2,192,3209003
00006,14_3,178,3573895
00006,14_4,187,2616896
00006,15_1,237,3660327
00006,15_2,160,2970188
00006,15_3,228,3962173
00006,15_4,219,2647175
00007,14_1,99,10466291
00007,14_2,94,2927842
00007,14_3,94,5323165
00007,14_4,101,14386004
00007,15_1,103,9238632
00007,15_2,97,12748435
00007,15_3,95,3738889
00007,15_4,98,12370144
00008,14_1,162,6328574
00008,14_2,223,5422648
00008,14_3,263,7908095
00008,14_4,190,9889710
00008,15_1,268,7174478
00008,15_2,257,7948725
00008,15_3,279,8799609
00008,15_4,223,8419055
00009,14_1,34,14134569
00009,14_2,94,24623001
00009,14_3,100,19106272
00009,14_4,109,20353926
00009,15_1,79,54986079
00009,15_2,114,31762935
00009,15_3,86,24884893
00009,15_4,124,16292164
00010,14_1,462,2504458
00010,14_2,412,2663642
00010,14_3,390,2545402
00010,14_4,444,1748854
00010,15_1,469,2907221
00010,15_2,449,2567001
00010,15_3,454,2448338
00010,15_4,328,1448181
00011,14_1,137,12378243
00011,14_2,99,15291902
00011,14_3,119,36042323
00011,14_4,116,11306991
00011,15_1,78,2955560
00011,15_2,90,32635424
00011,15_3,69,4092784
00011,15_4,112,16486576
00012,14_1,76,983573
00012,14_2,25,201874
00012,14_3,60,544027
00012,14_4,55,310594
00012,15_1,54,288349
00012,15_2,87,1016818
00012,15_3,70,2477440
00012,15_4,66,784621
00013,14_1,246,1755242
00013,14_2,319,2194961
00013,14_3,278,1896298
00013,14_4,430,2278908
00013,15_1,403,2458697
00013,15_2,441,2819076
00013,15_3,414,2922997
00013,15_4,353,1563082
00014,14_1,124,4084091
00014,14_2,266,5514934
00014,14_3,178,5377499
00014,14_4,194,2910524
00014,15_1,143,6153164
00014,15_2,139,5723612
00014,15_3,153,3467393
00014,15_4,115,2083536
00015,14_1,151,3976205
00015,14_2,127,5743694
00015,14_3,127,3177681
00015,14_4,115,1168872
00015,15_1,129,3156948
00015,15_2,156,5646563
00015,15_3,124,1961772
00015,15_4,91,1023729
00016,14_1,43,692934
00016,14_2,34,581276
00016,14_3,66,1295463
00016,14_4,86,1594089
00016,15_1,127,2378321
00016,15_2,93,1397348
00016,15_3,71,1451794
00016,15_4,85,1465539
00017,14_1,91,24963163
00017,14_2,61,25372117
00017,14_3,60,6136225
00017,14_4,80,12999527
00017,15_1,91,4356364
00017,15_2,199,22171475
00017,15_3,153,22405792
00017,15_4,146,23013296
00018,14_1,150,40421810
00018,14_2,184,21998025
00018,14_3,162,13633572
00018,14_4,41,780858
00018,15_1,53,1760858
00018,15_2,48,1129421
00018,15_3,62,1651080
00018,15_4,58,800436
00019,14_1,89,5912461
00019,14_2,85,4943718
