고객번호,분류코드,구매횟수,총구매액
1,1,674,14672622
1,2,325,68499097
1,3,1,509218
1,4,57,1091811
2,1,801,21266895
2,2,289,77457516
2,3,5,1946464
2,4,21,962147
3,1,1189,3137599
3,2,2,112799
4,1,731,5722150
4,2,137,10308236
4,3,1,191459
4,4,61,820402
5,1,666,8505680
5,2,38,4200332
5,3,1,58715
5,4,14,312085
6,1,1337,10135695
6,2,195,13511730
6,3,6,368236
6,4,55,755465
7,1,536,5952502
7,2,166,57489364
7,3,7,6684393
7,4,72,1073143
8,1,1643,27940525
8,2,148,31274268
8,3,3,145849
8,4,71,2530252
9,1,279,5908720
9,2,443,196179320
9,3,7,2795353
9,4,11,1260446
10,1,3327,14857095
10,2,56,3154824
10,3,1,367741
10,4,24,453437
11,1,572,14947975
11,2,224,113564865
11,3,3,1909524
11,4,21,767439
12,1,477,3104075
12,2,16,3503221
13,1,2701,13566559
13,2,64,3368750
13,3,1,36409
13,4,118,917543
14,1,1011,9225181
14,2,180,19271049
14,3,8,2938001
14,4,113,3880522
15,1,857,6821877
15,2,144,18805060
15,4,19,228527
16,1,564,8929314
16,2,34,1774340
16,3,1,32170
16,4,6,120940
17,1,647,69287721
17,2,159,54957295
17,3,8,8643751
17,4,67,8529192
18,1,488,5753870
18,2,218,73760622
18,3,1,451950
18,4,51,2209618
19,1,486,16042881
19,2,90,26635350
19,3,3,283618
19,4,2,36877
20,1,966,17379077
20,2,68,5390111
20,4,13,132585
21,1,2060,16874151
21,2,79,5595870
21,3,2,35657
21,4,53,591342
22,1,279,4992998
22,2,40,25511627
22,3,19,104239796
22,4,157,7273396
23,1,510,21101122
23,2,193,43566742
23,3,12,10508896
23,4,68,1975782
24,1,696,6353916
24,2,81,4627272
24,3,2,391432
24,4,39,803108
25,1,323,2814190
25,2,219,38503370
25,3,12,2307487
25,4,72,1619681
26,1,643,8783712
26,2,282,98179747
26,3,27,15000722
26,4,62,1328099
27,1,496,25792670
27,2,125,31488575
27,3,8,4430141
27,4,19,310868
28,1,1353,7131024
28,2,25,1698100
28,4,10,22945
29,1,445,5075516
29,2,455,73331029
29,3,7,6999169
29,4,19,577430
30,1,2061,21050868
30,2,217,80112962
30,3,7,3785773
30,4,31,1035782
31,1,815,6292849
31,2,121,5892114
31,4,59,1371673
32,1,1383,17378696
32,2,35,1593835
32,3,5,124762
32,4,60,564609
33,1,2364,10029937
33,2,26,456708
33,4,14,184524
34,1,856,10034149
34,2,58,4489209
34,4,34,737094
35,1,789,15002479
35,2,144,26830050
35,3,5,1331012
35,4,56,2238386
36,1,843,17280996
36,2,91,25805838
36,4,26,1364340
37,1,936,11903423
37,2,127,45150761
37,3,1,202927
37,4,93,2883630
38,1,2443,17422883
38,2,147,4714332
38,3,1,16893
38,4,89,1572989
39,1,404,6233878
39,2,104,199084117
39,3,1,1442121
39,4,65,904172
40,1,639,4828534
40,2,200,21501196
40,3,2,231770
40,4,17,224443
41,1,484,6544203
41,2,35,5519086
41,3,2,416155
41,4,194,6008943
42,1,2123,12621805
42,2,62,3228665
42,3,1,19572
42,4,11,98569
43,1,1088,5602494
43,2,20,1774441
43,4,1,6181
44,1,812,9463100
44,2,122,16575236
44,3,34,74586815
44,4,26,825900
45,1,404,5040674
45,2,277,211733563
45,3,11,6530785
45,4,57,1474947
46,1,461,9718551
46,2,116,46945751
46,3,23,72557924
46,4,80,2104685
47,1,1589,13838233
47,2,92,5830493
47,3,1,1067669
47,4,31,577527
48,1,440,11809313
48,2,191,63979304
48,3,15,7489170
48,4,21,1390594
49,1,439,7090542
49,2,159,65727605
49,3,14,18867213
49,4,70,2589613
50,1,1507,12339238
50,2,168,11738609
50,3,3,238054
50,4,87,1035608
51,1,1655,11513336
51,2,143,10204444
51,4,15,148731
52,1,894,9865772
52,2,140,21221227
52,3,10,2700803
52,4,207,3598179
53,1,543,8588248
53,2,107,39733263
53,3,5,1961227
53,4,99,1116920
54,1,654,7228835
54,2,45,2577012
54,3,1,41312
54,4,50,774500
55,1,947,7045744
55,2,5,386482
55,4,3,323836
56,1,387,5886371
56,2,223,55535534
56,3,28,26611366
56,4,128,3643979
57,1,1992,10159380
57,2,3,92892
57,3,1,32200
57,4,1,66513
58,1,418,7225947
58,2,129,14831953
58,3,28,2028839
58,4,43,1873970
59,1,755,9081481
59,2,53,16474340
59,3,3,854093
59,4,31,1007996
60,1,1306,13335443
60,2,134,16345126
60,3,1,5362
60,4,35,538126
61,1,1527,14740107
61,2,157,11327537
61,3,7,739189
61,4,14,148491
62,1,692,6879459
62,2,139,11619911
62,3,3,107365
62,4,138,2834804
63,1,584,4957934
63,2,25,1260894
63,4,7,63178
64,1,798,3651784
64,2,7,65628
64,3,1,45443
64,4,13,74552
65,1,729,9072465
65,2,98,9474742
65,3,4,467697
65,4,46,771703
66,1,1977,13333864
66,2,72,4322225
66,4,91,740411
67,1,1957,9952788
67,2,16,822171
67,4,5,23286
68,1,881,8210680
68,2,185,40129853
68,3,441,251306997
68,4,83,3596212
69,1,3861,15839677
69,2,5,72824
70,1,479,2541882
70,2,65,16075612
70,3,21,11891009
70,4,83,1920452
71,1,1078,4372849
71,2,5,351455
71,4,30,140382
72,1,896,6773273
72,2,127,2905690
72,4,8,205667
73,1,158,6081265
73,2,319,83060837
73,3,147,145991790
73,4,11,572567
74,1,433,5577698
74,2,257,23223086
74,3,14,2467963
74,4,55,1266979
75,1,875,4085221
75,2,27,914762
75,4,25,187094
76,1,722,5125657
76,2,152,6350956
76,3,2,289975
76,4,47,431065
77,1,882,11076410
77,2,144,21986873
77,3,10,1598374
77,4,56,1292532
78,1,590,11816505
78,2,253,66403023
78,3,36,11947026
78,4,150,3509535
79,1,1857,11390338
79,2,121,3663320
79,4,54,1136264
80,1,1598,7420123
80,2,37,2709639
80,4,40,633254
81,1,474,5650710
81,2,189,63563849
81,3,10,5088071
81,4,122,2013132
82,1,894,9786060
82,2,220,120370666
82,3,27,26679209
82,4,42,1444634
83,1,749,10648552
83,2,185,113666453
83,3,2,1175534
83,4,120,2244101
84,1,304,4996208
84,2,168,52571804
84,3,5,5335460
84,4,25,784319
85,1,805,9231840
85,2,65,4529336
85,4,7,392668
86,1,2046,17570062
86,2,174,22357356
86,3,1,41821
86,4,51,386807
87,1,384,5972416
87,2,69,39852464
87,3,3,4100476
87,4,105,1375390
88,1,1272,15342617
88,2,147,42009633
88,3,2,1496791
88,4,83,2399613
89,1,1883,9755603
89,2,101,5813731
89,3,1,20374
89,4,57,550563
90,1,339,8780308
90,2,143,43510644
90,3,1,1659003
90,4,59,1630702
91,1,863,15390893
91,2,33,3588389
91,4,28,354727
92,1,1350,18097583
92,2,385,35480660
92,3,4,603206
92,4,55,1979456
93,1,399,9950694
93,2,288,83620882
93,3,39,22869150
93,4,57,1687359
94,1,945,35796111
94,2,161,20942892
94,3,17,10352034
94,4,43,1468209
95,1,1152,5559269
95,2,112,2212706
95,3,1,44342
95,4,29,126541
96,1,643,15351531
96,2,91,16201971
96,3,1,582256
96,4,18,657013
97,1,1041,52308751
97,2,544,936638627
97,3,10,8761547
97,4,38,4663728
98,1,681,12316702
98,2,57,7634221
98,3,4,1748452
98,4,50,604499
99,1,630,11249307
99,2,451,125810023
99,3,116,116578700
99,4,121,5329878
100,1,505,5220278
100,2,154,21595920
100,3,4,265334
100,4,28,570832
101,1,806,5373455
101,2,11,1247406
101,4,39,394316
102,1,2519,21278916
102,2,151,43038784
102,3,32,47604844
102,4,12,283072
103,1,887,4326262
103,2,11,443389
103,4,5,102659
104,1,2456,14073916
104,2,28,1756979
104,4,14,107127
105,1,2293,18151262
105,2,59,3799820
105,3,1,11262
105,4,22,1028049
106,1,502,5574961
106,2,254,61081945
106,3,2,892830
106,4,29,1056260
107,1,570,8522760
107,2,244,122104630
107,4,27,776140
108,1,806,7054354
108,2,151,7128104
108,3,2,65552
108,4,46,633941
109,1,1445,8340701
109,2,14,441708
109,4,2,138644
110,1,1225,10176702
110,2,137,16152587
110,4,60,1268453
111,1,1558,5112494
111,2,9,163356
111,4,2,9493
112,1,625,12356874
112,2,255,84981383
112,4,43,951786
113,1,1187,17152423
113,2,332,58283096
113,3,28,17011979
113,4,119,1968497
114,1,686,7307742
114,2,105,16294349
114,3,2,476896
114,4,20,365813
115,1,464,10818532
115,2,88,30777724
115,3,23,26221155
115,4,19,438779
116,1,1722,6604237
116,2,32,1614222
117,1,1171,19763562
117,2,52,20153623
117,3,5,3997416
117,4,92,1510010
118,1,310,6478970
118,2,330,90391368
118,3,47,6170587
118,4,25,558048
119,1,657,8703777
119,2,248,44857473
119,3,18,13487319
119,4,57,1127128
120,1,449,4111125
120,2,660,238085766
120,3,9,2295416
120,4,51,975506
121,1,629,9002621
121,2,76,7551631
121,3,2,606432
121,4,199,2498416
122,1,949,12223603
122,2,202,26229464
122,3,2,193075
122,4,63,2533872
123,1,1642,9672970
123,2,34,931763
123,4,10,173635
124,1,435,4197875
124,2,200,32120996
124,3,6,1911478
124,4,42,565125
125,1,690,7625303
125,2,58,4723272
125,3,4,1551526
125,4,98,1717955
126,1,1423,9089504
126,2,106,28410738
126,3,6,1450791
126,4,13,238411
127,1,402,2922742
127,2,57,2558918
127,3,1,29329
127,4,202,1656337
128,1,742,7079193
128,2,44,2016367
128,4,11,162355
129,1,973,6816950
129,2,30,457516
129,4,3,18920
130,1,772,11731115
130,2,271,32028819
130,3,5,1990784
130,4,8,436409
131,1,1979,17594688
131,2,194,14489890
131,3,13,851403
131,4,34,846833
132,1,1758,8372679
132,2,53,3600576
132,4,28,90584
133,1,1050,13666281
133,2,64,9276799
133,3,2,239318
133,4,106,1471896
134,1,410,10380518
134,2,270,62772662
134,3,92,32283970
134,4,13,358118
135,1,642,5147846
135,2,58,8217866
135,4,6,226904
136,1,330,3752548
136,2,159,24445663
136,4,50,1078556
137,1,859,9478548
137,2,199,32373104
137,3,54,67476695
137,4,27,966596
138,1,664,7871753
138,2,241,33183921
138,3,7,5027023
138,4,73,1755233
139,1,1033,10575486
139,2,197,31125240
139,3,15,4726765
139,4,125,2583496
140,1,703,42081460
140,2,151,33781989
140,3,65,175610766
140,4,35,3940107
141,1,1335,5717217
141,2,15,125117
141,4,1,5362
142,1,6,52409
142,2,10,779147
143,1,1567,6747652
143,2,37,490687
143,4,12,217324
144,1,5898,60106923
144,2,50,11022207
144,3,2,871025
144,4,5,414659
145,1,639,16348553
145,2,174,89163844
145,3,43,31744485
145,4,32,1912372
146,1,102,3774543
146,2,211,31775021
146,3,105,62287526
146,4,76,2497208
147,1,1478,16876443
147,2,201,39417032
147,3,30,37314163
147,4,92,2436198
148,1,1441,5578758
148,2,2,128798
149,1,704,10867322
149,2,88,14188965
149,3,4,1735061
149,4,40,766316
150,1,1547,8401087
150,2,97,15544292
150,3,3,202361
150,4,61,570724
151,1,1103,14790266
151,2,235,56010541
151,3,1,11487535
151,4,51,2141020
152,1,625,6946803
152,2,227,25002012
152,3,5,485895
152,4,57,974273
153,1,1017,5690082
153,2,45,4871339
153,4,14,128931
154,1,454,4677230
154,2,41,11878384
154,3,23,49592983
154,4,259,6471034
155,1,671,15158320
155,2,268,40584656
155,3,3,947070
155,4,29,693383
156,1,904,30323412
156,2,375,118332100
156,3,10,2163186
156,4,7,165492
157,1,857,6132521
157,2,96,6895276
157,3,1,372957
157,4,32,682232
158,1,1129,10736567
158,2,29,955498
158,4,10,100219
159,1,169,3917035
159,2,422,110414998
159,3,5,23596841
159,4,44,1399866
160,1,1215,13046945
160,2,91,6618200
160,3,2,339751
160,4,40,691544
161,1,234,4632515
161,2,391,124216050
161,3,46,34246007
161,4,66,3301793
162,1,726,8232969
162,2,309,58713693
162,3,4,2615618
162,4,6,54601
163,1,1509,9042060
163,2,24,2446066
163,4,10,209283
164,1,613,7010829
164,2,96,20609210
164,3,32,71615818
164,4,210,12429189
165,1,236,2961984
165,2,258,35064723
165,3,3,893252
165,4,17,712528
166,1,775,10669753
166,2,210,22860250
166,3,1,32170
166,4,40,514213
167,1,814,9881338
167,2,122,28894511
167,3,4,4574207
167,4,6,105247
168,1,876,13242391
168,2,245,67759404
168,3,5,2421034
168,4,26,1274581
169,1,917,4908852
169,2,46,3206884
169,3,2,196022
169,4,29,280376
170,1,1793,12679268
170,2,51,1620619
170,4,77,309540
171,1,571,9737052
171,2,106,17530078
171,3,3,181644
171,4,111,1109158
172,1,1308,16026383
172,2,51,4379863
172,4,84,2539246
173,1,2024,9378979
173,2,35,2561750
173,3,1,30991
173,4,17,298749
174,1,18,128322
174,2,2,252017
174,4,1,41500
175,1,4330,26374203
175,2,359,8467219
175,4,130,605459
176,1,1323,7548339
176,2,14,701071
176,4,2,33506
177,1,254,4737696
177,2,369,86396087
177,3,2,128541
177,4,31,1453376
178,1,1887,13411512
178,2,57,6415458
178,4,25,281274
179,1,1140,18532263
179,2,263,29928787
179,3,6,357734
179,4,44,1042166
180,1,504,15244070
180,2,115,22783609
180,3,23,12790961
180,4,70,1814029
181,1,561,7442635
181,2,254,49360044
181,3,3,6433363
181,4,105,3105088
182,1,1339,18313223
182,2,140,59265737
182,3,3,3768497
182,4,62,2415145
183,1,2236,11895900
183,2,56,1445475
183,4,31,174103
184,1,362,5781040
184,2,190,27169950
184,3,4,3434764
184,4,59,1005589
185,1,1349,9708848
185,2,56,1364369
185,3,1,26605
185,4,13,135417
186,1,1218,26144522
