고객번호,상반기구매빈도14,하반기구매빈도14,상반기구매빈도15,하반기구매빈도15
1,3,4,3,2
2,3,3,3,3
3,2,3,1,1
4,2,2,2,3
5,4,1,1,1
6,3,3,3,4
7,2,2,2,2
8,2,3,3,4
9,2,3,3,3
10,3,4,3,3
11,3,3,2,3
12,1,1,1,1
13,2,3,3,3
14,4,3,3,2
15,4,3,3,3
16,1,1,2,2
17,2,1,2,4
18,4,2,1,1
19,2,2,2,1
20,3,3,3,3
21,1,2,2,3
22,1,1,2,1
23,2,3,2,1
24,1,1,1,1
25,1,2,3,3
26,3,2,3,2
27,3,2,2,3
28,3,2,1,2
29,2,3,3,3
30,3,4,3,3
31,2,3,2,3
32,3,4,3,4
33,1,1,2,2
34,3,3,2,1
35,2,1,3,3
36,2,2,2,3
37,2,4,3,4
38,3,4,4,4
39,2,2,3,2
40,2,2,2,2
41,2,2,2,2
42,2,2,2,2
43,1,1,2,2
44,2,4,3,3
45,1,3,3,3
46,2,2,3,3
47,3,2,1,2
48,2,2,2,2
49,2,2,2,2
50,4,4,3,4
51,3,3,3,2
52,3,3,4,3
53,2,4,3,2
54,3,3,2,4
55,2,2,2,2
56,3,2,3,2
57,2,2,1,2
58,1,1,2,2
59,2,3,2,2
60,3,4,3,3
61,4,2,2,3
62,2,2,3,3
63,2,1,2,2
64,3,2,1,1
65,2,2,4,2
66,3,4,4,4
67,1,1,2,2
68,4,4,3,3
69,2,3,2,3
70,3,3,1,1
71,1,2,1,1
72,1,2,2,2
73,3,2,2,2
74,3,2,2,2
75,2,4,2,4
76,3,3,3,4
77,2,2,2,2
78,2,4,4,4
79,1,2,1,2
80,3,4,3,3
81,3,2,4,3
82,2,4,4,3
83,2,4,4,4
84,2,1,2,1
85,1,2,3,3
86,2,3,3,3
87,2,1,2,1
88,2,3,3,3
89,2,3,3,3
90,1,2,2,2
91,2,2,2,3
92,3,4,3,4
93,2,1,2,3
94,1,4,4,4
95,3,2,3,3
96,2,2,1,1
97,3,3,3,3
98,2,3,2,2
99,4,4,4,4
100,2,4,2,1
101,2,2,3,3
102,4,4,4,4
103,2,2,1,2
104,3,2,3,2
105,2,2,1,1
106,2,2,2,2
107,2,3,3,2
108,2,2,3,3
109,3,3,3,3
110,3,4,3,2
111,3,3,3,4
112,1,3,3,4
113,3,4,4,3
114,3,2,3,2
115,2,1,2,1
116,3,3,3,3
117,3,3,4,2
118,2,4,3,3
119,3,3,3,2
120,4,4,4,4
121,2,3,3,4
122,1,2,3,2
123,2,2,2,2
124,2,2,2,2
125,2,1,2,2
126,2,3,4,3
127,2,2,3,3
128,2,2,2,1
129,2,2,2,3
130,3,4,3,1
131,4,3,4,4
132,2,3,2,1
133,3,2,3,3
134,2,3,3,3
135,2,2,2,1
136,2,2,1,2
137,2,3,3,2
138,2,2,2,2
139,3,3,2,3
140,3,3,2,2
141,2,2,2,3
142,1,1,1,1
143,1,2,2,1
144,4,4,3,1
145,1,2,2,3
146,2,2,2,1
147,3,2,2,3
148,3,3,3,4
149,2,3,4,3
150,2,2,2,1
151,3,2,3,3
152,2,2,2,2
153,3,2,3,3
154,2,1,1,3
155,2,2,2,3
156,4,3,3,3
157,2,2,2,2
158,2,3,2,3
159,2,2,2,3
160,2,2,3,3
161,3,3,3,2
162,2,3,2,2
163,3,4,3,4
164,1,2,2,3
165,2,2,1,1
166,1,3,2,2
167,2,2,1,2
168,2,2,3,2
169,1,1,1,2
170,1,1,2,2
171,2,2,3,4
172,2,2,2,2
173,2,3,3,3
174,1,1,1,1
175,2,2,2,2
176,2,3,3,3
177,2,2,2,2
178,2,2,4,4
179,2,3,3,3
180,2,2,2,2
181,2,2,3,2
182,2,3,2,2
183,2,2,2,1
184,2,2,1,1
185,1,2,2,1
186,4,2,2,3
187,2,2,2,2
188,2,3,3,3
189,2,3,4,4
190,1,3,4,3
191,2,2,2,2
192,2,4,4,4
193,2,1,1,1
194,2,2,3,3
195,1,1,1,2
196,3,2,3,3
197,2,2,3,3
198,2,3,2,3
199,1,3,3,3
200,4,4,3,1
201,3,4,2,2
202,3,4,4,4
203,2,2,2,1
204,4,3,3,4
205,3,3,2,3
206,3,3,2,2
207,1,2,1,1
208,2,3,1,1
209,2,3,3,3
210,2,3,3,3
211,2,2,2,2
212,3,3,3,3
213,3,4,4,4
214,3,3,2,3
215,2,3,3,3
216,2,3,3,2
217,2,2,1,2
218,2,4,2,4
219,2,2,3,3
220,1,1,1,1
221,1,2,1,2
222,2,3,3,3
223,1,2,2,3
224,2,2,2,2
225,4,3,4,3
226,2,2,2,2
227,2,3,2,2
228,1,1,1,3
229,2,2,3,2
230,1,2,2,2
231,2,2,2,2
232,4,4,4,3
233,2,3,3,3
234,2,4,4,3
235,2,2,3,2
