,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,변동계수
0,1,1,1,1,2,2,2,2.6981132075471694
1,1,1,1,2,1,2,1,2.63265306122449
2,10,10,10,10,10,10,10,0.0
3,7,3,5,6,7,6,5,3.978571428571429
4,5,4,4,4,4,4,3,6.8965517241379315
5,1,4,3,1,2,1,4,1.6594202898550727
6,2,3,2,2,2,2,2,5.631578947368421
7,1,1,1,1,1,1,1,0.0
8,4,5,5,6,4,5,5,7.043478260869566
9,1,1,1,1,4,1,3,1.3679999999999999
10,9,10,10,10,10,9,5,4.918032786885246
11,6,5,6,5,5,5,5,10.795918367346939
12,3,3,3,4,2,3,4,4.55072463768116
13,3,3,4,8,4,3,7,2.2077294685990343
14,10,10,8,7,5,8,8,4.624277456647399
15,1,1,2,1,3,1,1,1.810126582278481
16,1,1,1,10,7,9,7,1.2786069651741294
17,2,3,5,2,4,2,2,2.3636363636363638
18,4,4,5,6,3,4,5,4.520408163265306
19,5,5,4,5,4,3,4,5.644736842105263
20,1,1,1,1,1,2,5,1.14
21,2,2,2,1,2,2,2,4.894736842105264
22,8,6,6,7,8,9,7,6.567567567567567
23,8,4,4,6,1,2,5,1.8177966101694916
24,1,1,2,1,1,2,2,2.6981132075471694
25,1,2,3,4,2,2,1,2.0
26,9,8,10,9,10,8,6,6.121428571428572
27,1,1,1,2,1,1,2,2.63265306122449
28,2,1,1,1,1,1,1,2.9999999999999996
29,8,8,6,5,6,8,6,5.368
30,7,5,4,5,5,5,5,5.71111111111111
31,7,7,8,9,8,8,7,10.144736842105264
32,6,4,7,5,7,6,8,4.548148148148147
33,3,3,2,4,2,2,2,3.253164556962025
34,3,2,3,3,6,2,2,2.127659574468085
35,6,4,2,1,2,1,2,1.4198895027624308
36,5,5,4,5,4,5,3,5.6075949367088604
37,1,1,2,1,2,1,1,2.63265306122449
38,5,3,6,6,3,4,2,2.6369426751592355
39,5,4,8,5,4,6,6,3.8785714285714286
40,7,5,6,8,5,6,6,5.738317757009345
41,8,10,10,5,10,10,9,4.763440860215053
42,3,4,3,1,2,4,2,2.4414414414414414
43,1,6,1,1,1,1,1,0.9047619047619048
44,1,1,4,2,1,2,1,1.5405405405405403
45,4,3,2,6,5,7,9,2.1327800829875514
46,2,2,1,2,1,1,2,2.9622641509433962
47,2,1,1,3,1,2,1,1.9873417721518987
48,4,3,4,4,4,5,4,6.8965517241379315
49,3,4,5,3,5,6,8,2.745762711864407
50,2,3,4,3,3,2,3,4.144927536231884
51,4,1,5,1,3,3,5,1.8690476190476193
52,7,6,8,7,9,9,9,6.4958677685950414
53,9,10,8,9,9,10,9,13.246376811594205
54,1,1,4,2,1,1,3,1.5371900826446283
55,8,7,9,8,5,10,8,5.006369426751593
56,4,4,4,3,4,5,5,6.0
57,3,3,4,4,5,4,4,5.594202898550725
58,5,3,4,3,5,3,3,3.905263157894737
59,2,3,4,5,5,5,4,3.4782608695652177
60,7,3,4,5,5,5,5,4.016528925619835
61,10,9,10,10,9,10,9,18.056603773584904
62,10,10,10,10,10,10,10,0.0
63,6,6,3,9,3,5,8,2.493449781659389
64,4,5,6,5,5,5,5,8.620689655172415
65,9,9,8,7,7,8,7,8.733333333333334
66,1,1,1,1,1,1,1,0.0
67,7,6,5,6,6,6,5,8.492753623188406
68,3,6,1,3,4,5,5,2.2976190476190474
69,10,10,10,10,10,10,10,0.0
70,9,10,6,8,8,9,8,6.632
71,1,1,1,1,1,1,1,0.0
72,3,2,2,4,4,6,9,1.716
73,10,10,10,10,10,10,10,0.0
74,7,7,9,6,9,6,8,5.850393700787401
75,3,3,3,3,3,3,4,8.263157894736842
76,1,2,1,2,1,1,1,2.63265306122449
77,6,6,5,5,8,5,5,5.144144144144144
78,9,9,8,7,8,7,9,9.044444444444444
79,1,3,1,3,2,1,1,1.8
80,1,2,1,2,1,1,1,2.63265306122449
81,2,1,1,2,1,1,1,2.63265306122449
82,2,4,3,6,1,1,7,1.4472573839662448
83,9,9,10,6,6,5,5,3.3679245283018866
84,5,3,3,3,3,3,2,3.488888888888889
85,1,1,10,3,2,7,2,1.0753623188405796
86,3,2,2,2,2,3,3,4.584905660377358
87,8,4,5,7,5,6,7,4.25531914893617
88,4,4,3,1,4,3,2,2.608695652173913
89,5,5,5,5,4,5,5,12.789473684210527
90,2,3,2,2,3,2,2,4.673469387755103
91,1,1,1,2,1,1,1,2.9999999999999996
92,10,10,2,2,3,3,1,1.144702842377261
93,9,9,10,8,9,10,9,13.246376811594205
94,3,1,2,5,4,7,4,1.8737373737373737
95,1,1,1,1,1,1,1,0.0
96,5,5,4,4,3,5,5,5.6075949367088604
97,1,1,1,1,1,1,1,0.0
98,8,2,2,2,7,9,5,1.6339869281045751
99,7,10,10,10,9,10,9,8.369369369369368
100,1,1,1,1,2,1,2,2.63265306122449
101,10,10,9,10,10,10,10,25.94736842105263
102,6,6,5,5,7,6,5,7.513157894736842
103,5,4,3,5,4,6,3,3.8648648648648645
104,1,1,3,2,4,2,2,2.0
105,2,1,1,1,1,1,2,2.63265306122449
106,5,8,7,6,8,5,6,5.062992125984252
107,6,8,8,9,10,10,10,5.8066666666666675
108,5,4,2,3,4,4,4,3.905263157894737
109,10,10,9,10,10,10,10,25.94736842105263
110,1,3,2,2,2,2,1,2.695652173913044
111,1,1,1,1,1,1,2,2.9999999999999996
112,6,3,3,4,4,3,8,2.331578947368421
113,5,2,2,2,1,1,4,1.609271523178808
114,9,8,9,10,9,8,10,10.975609756097562
115,2,7,1,2,3,3,4,1.6102564102564103
116,2,2,1,1,1,1,1,2.63265306122449
117,3,1,2,2,1,2,2,2.695652173913044
118,1,1,1,1,1,1,1,0.0
119,4,7,10,5,3,8,5,2.4489795918367343
120,4,3,3,4,2,2,2,3.1777777777777776
121,6,9,7,8,7,8,8,7.724489795918368
122,2,4,3,4,6,2,7,2.094240837696335
123,4,6,6,8,7,4,10,2.9906976744186045
124,3,9,9,2,2,3,5,1.5242718446601942
125,9,9,8,10,8,10,10,10.155555555555557
126,8,9,4,10,10,9,8,4.024271844660194
127,10,9,10,9,10,9,8,12.223684210526315
128,1,2,2,3,2,3,7,1.4666666666666666
129,4,2,2,5,4,3,3,2.963963963963964
130,7,8,7,5,5,8,10,4.033898305084746
131,5,5,4,6,4,4,4,5.784810126582278
132,1,2,2,2,1,1,1,2.6981132075471694
133,10,3,4,9,9,8,6,2.5830258302583027
134,10,4,3,3,10,4,8,1.8691588785046729
135,1,1,2,2,1,2,1,2.6981132075471694
136,2,3,3,2,2,2,4,3.253164556962025
137,3,2,1,1,5,4,2,1.7019867549668872
138,1,1,1,1,1,1,1,0.0
139,10,10,10,10,10,10,9,25.94736842105263
140,9,10,9,10,10,8,9,12.223684210526315
141,1,1,1,2,2,6,2,1.2090395480225988
142,2,2,1,1,2,1,1,2.6981132075471694
143,1,1,2,1,1,1,2,2.63265306122449
144,1,1,2,1,1,1,2,2.63265306122449
145,10,10,10,10,10,9,10,25.94736842105263
146,4,5,2,3,6,3,7,2.3833333333333333
147,4,2,5,4,6,3,8,2.2964824120603016
148,2,1,2,2,3,2,1,2.695652173913044
149,3,4,3,4,3,3,3,6.714285714285714
150,8,10,9,4,9,8,10,4.024271844660194
151,1,2,6,7,9,6,1,1.4236760124610592
152,3,2,1,3,2,3,1,2.3777777777777778
153,1,1,1,1,1,1,2,2.9999999999999996
154,7,8,6,7,8,8,5,6.086956521739131
155,9,9,7,6,9,5,8,4.672839506172839
156,2,1,2,1,1,1,2,2.6981132075471694
157,4,5,5,6,4,4,5,6.197368421052632
158,1,2,1,1,1,1,2,2.63265306122449
159,3,1,2,1,1,2,2,2.25
160,8,6,8,8,8,8,6,7.581632653061225
161,1,2,2,2,2,1,1,2.9622641509433962
162,7,2,2,2,2,8,7,1.494773519163763
163,4,2,3,3,4,4,3,4.328947368421052
164,3,4,5,1,4,3,2,2.325925925925926
165,2,1,2,1,2,1,2,2.9622641509433962
166,6,9,10,10,10,9,6,4.734806629834254
167,8,6,5,8,7,6,5,5.062992125984252
168,5,6,3,2,8,4,2,1.9411764705882353
169,5,3,5,5,5,4,3,4.515789473684211
170,8,7,6,8,9,5,9,4.920529801324503
171,3,4,3,4,3,3,2,4.55072463768116
172,9,9,7,9,9,8,10,9.16842105263158
