소분류코드,소분류명
A010101,위생세제
A010102,휴지류
A010103,뷰티상품
A010104,일용잡화
A010105,세트상품
A010106,단기행사
A010201,우육
A010202,돈육
A010203,계육
A010204,갈비세트
A010205,정육세트
A010206,수입육
A010207,양념육
A010301,햄
A010302,유제품
A010303,직매입
A010304,화과자
A010305,햄세트
A010306,친환경올가
A010401,청과
A010402,채소
A010403,유기농채소
A010404,농산가공
A010405,건과
A010406,선식(가루류)
A010407,곡물
A010408,농산단기행사
A010409,청과세트
A010410,건과세트
A010411,곶감/송이세트
A010412,수삼/더덕세트
A010413,친환경세트
A010414,농산단기행사
A010501,생선
A010502,회
A010503,건생선
A010504,기타생선
A010505,냉동식품
A010506,냉동만두류
A010507,굴비류
A010508,멸치류
A010509,안주류
A010510,김류
A010511,즉석구이김류
A010512,건어물류
A010514,건어물세트
A010515,선어세트
A010516,굴비세트
A010517,안주세트
A010518,기타건생선세트
A010519,김세트
A010520,멸치세트
A010521,수산단기행사
A010601,한식델리
A010602,일식델리
A010603,서양델리
A010604,에스닉푸드
A010605,중식델리
A010606,초밥
A010607,제과제빵
A010608,일반가공식품
A010609,특산물행사
A010610,가공선물세트
A010611,케익류
A010612,양과자류
A010613,전문베이커리
A010614,떡
A010615,한과
A010616,한과(세트행사)
A010617,양과(세트행사)
A010618,반찬장류세트
A010619,포숑
A010620,수입단기행사
A010621,기타베이커리
A010622,즉석.스넥(매장)
A010623,밥류
A010624,면류
A010625,패밀리레스토랑
A010626,아이스크림
A010627,커피숍
A010628,KKD
A010629,푸드코트
A010630,브랑제리
A010631,브랜드샵
A010632,엔젤리너스
A010633,롯데리아
A010634,TGIF
A010635,음료
A010636,분식
A010637,대형테넌트
A010638,디저트카페
A010639,양식
A010640,일식
A010641,한식
A010642,중식
A010643,패스트푸드
A010644,식당가 한식
A010645,식당가 중식
A010646,식당가 일식
A010647,식당가 양식
A010648,식당가 커피숍
A010649,식당가 아이스크림
A010650,식당가 레스토랑
A010652,생필(부대)
A010653,스넥(부대)
A010654,지방스넥(부대)
A010655,델리(부대)
A010656,레토르
A010701,젓갈세트
A010702,규격젓갈
A010703,벌크젓갈
A010704,규격김치
A010705,벌크김치
A010706,장류
A010707,어묵
A010708,가공행사
A010710,즉석반찬
A010801,건강식품(홍삼)
A010802,건강식품
A010803,건강식품(비타민)
A010901,주류
A010902,음료
A010903,한차
A010904,공병
A010905,기타음료
A011001,디저트류
A011002,가공2단기행사
A011003,원두커피
A011004,수입식품
A011101,PECK Restaurant
A011102,PECK Enoteca
A011103,PECK Fruits
A011104,PECK G&C
A011105,팩토리샵
A011106,CJ팩토리샵
A011107,스테이셔너리
A011108,5 ON THE GO
A011109,멘즈셀렉샵
A020101,넥타이(특정)
A020102,스카프(특정)
A020103,양말(특정)
A020104,손수건(특정)
A020105,스타킹(특정)
A020106,모자(특정)
A020107,우/양산(특정)
A020108,장갑(특정)
A020109,기타
A020110,누셀렉트샵
A020111,모자(단기행사)
A020112,패션갤러리움
A020113,무인양품
A020114,영플라자(패션내의)
A020115,영플라자(영트랜디)
A020116,영플라자(기타)
A020201,선글라스(특정)
A020202,영플라자(패션)
